"","stand","ac_type_long","stand_impact","impact","ac_type_long_impact","updated_at"
"148","CG6-7","ANY SIZE","CG6-3","Size","BOEING B737-900 WINGLETS",2020-05-27 02:06:38
"149","CG6-7","ANY SIZE","CG6-4","Size","BOEING B757-200",2020-05-27 02:06:38
"150","CG6-7","ANY SIZE","CG6-5","Size","ANY SIZE",2020-05-27 02:06:38
"151","CG6-8","ANY SIZE","CG6-5","Size","ANY SIZE",2020-05-27 02:06:38
"152","CG6-8","ANY SIZE","CG6-4","Entry_and_Exit","BOEING B737-900 WINGLETS",2020-05-27 02:06:38
"153","CG7-10","ANY SIZE","CG7-12","Size","ANY SIZE",2020-05-27 02:06:38
"154","CG7-10","ANY SIZE","CG7-1W","Size","ANY SIZE",2020-05-27 02:06:38
"155","CG7-10","ANY SIZE","CG7-1E","Size","ANY SIZE",2020-05-27 02:06:38
"156","CG7-11","ANY SIZE","CG7-1W","Size","ANY SIZE",2020-05-27 02:06:38
"157","CG7-11","ANY SIZE","CG7-1E","Size","ANY SIZE",2020-05-27 02:06:38
"158","CG7-11","ANY SIZE","CG7-10","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"159","CG7-11","ANY SIZE","CG7-12","Size","ANY SIZE",2020-05-27 02:06:38
"160","CG7-12","ANY SIZE","CG7-1E","Size","ANY SIZE",2020-05-27 02:06:38
"161","CG7-12","ANY SIZE","CG7-2W","Entry","ANY SIZE",2020-05-27 02:06:38
"162","CG7-12","ANY SIZE","CG7-3W","Entry","ANY SIZE",2020-05-27 02:06:38
"163","CG7-12","ANY SIZE","CG7-4W","Entry","ANY SIZE",2020-05-27 02:06:38
"164","CG7-12","ANY SIZE","CG7-8","Entry","ANY SIZE",2020-05-27 02:06:38
"165","CG7-12","ANY SIZE","CG7-10","Size","ANY SIZE",2020-05-27 02:06:38
"166","CG7-12","ANY SIZE","CG7-11","Size","ANY SIZE",2020-05-27 02:06:38
"167","CG7-12","ANY SIZE","CG7-1W","Size","ANY SIZE",2020-05-27 02:06:38
"168","CG7-1B","ANY SIZE","CG7-1A","Entry_and_Exit","ANY SIZE",2021-04-02 23:15:53
"169","CG7-1B","ANY SIZE","CG7-2A","Entry_and_Exit","ANY SIZE",2021-04-02 23:15:53
"170","CG7-1E","ANY SIZE","CG7-10","Size","ANY SIZE",2020-05-27 02:06:38
"171","CG7-1E","ANY SIZE","CG7-12","Size","ANY SIZE",2020-05-27 02:06:38
"172","CG7-1E","ANY SIZE","CG7-1W","Size","ANY SIZE",2020-05-27 02:06:38
"173","CG7-1E","ANY SIZE","CG7-11","Size","ANY SIZE",2020-05-27 02:06:38
"174","CG7-1W","ANY SIZE","CG7-11","Size","ANY SIZE",2020-05-27 02:06:38
"175","CG7-1W","ANY SIZE","CG7-1E","Size","ANY SIZE",2020-05-27 02:06:38
"176","CG7-1W","ANY SIZE","CG7-12","Size","ANY SIZE",2020-05-27 02:06:38
"177","CG7-1W","ANY SIZE","CG7-10","Size","ANY SIZE",2020-05-27 02:06:38
"178","CG7-2B","ANY SIZE","CG7-3E","Entry_and_Exit","ANY SIZE",2021-04-02 23:15:53
"179","CG7-2B","ANY SIZE","CG7-2A","Entry_and_Exit","ANY SIZE",2021-04-02 23:15:53
"180","CG7-2E","ANY SIZE","CG7-2W","Size","ANY SIZE",2020-05-27 02:06:38
"181","CG7-2W","ANY SIZE","CG7-12","Size","ANY SIZE",2020-05-27 02:06:38
